Geographic Area,id,"April 1, 2010, Census","April 1, 2010,  Estimates Base",Estimate 2010,Estimate 2011,Estimate 2012,Estimate 2013,Estimate 2014,Estimate 2015,Estimate 2016,Estimate 2017
United States,,308745538.00,308758105.00,309338421.00,311644280.00,313993272.00,316234505.00,318622525.00,321039839.00,323405935.00,325719178.00
Northeast,,55317240.00,55318350.00,55388349.00,55642659.00,55860261.00,56047732.00,56203078.00,56296628.00,56359360.00,56470581.00
Midwest,,66927001.00,66929794.00,66973360.00,67141501.00,67318295.00,67534451.00,67720120.00,67839187.00,67978168.00,68179351.00
South,,114555744.00,114563024.00,114869241.00,116060993.00,117291728.00,118422269.00,119699966.00,121081238.00,122423457.00,123658624.00
West,,71945553.00,71946937.00,72107471.00,72799127.00,73522988.00,74230053.00,74999361.00,75822786.00,76644950.00,77410622.00
.Alabama,0400000US01,4779736.00,4780135.00,4785579.00,4798649.00,4813946.00,4827660.00,4840037.00,4850858.00,4860545.00,4874747.00
.Alaska,0400000US02,710231.00,710249.00,714015.00,722259.00,730825.00,736760.00,736759.00,737979.00,741522.00,739795.00
.Arizona,0400000US04,6392017.00,6392309.00,6407002.00,6465488.00,6544211.00,6616124.00,6706435.00,6802262.00,6908642.00,7016270.00
.Arkansas,0400000US05,2915918.00,2916031.00,2921737.00,2938640.00,2949208.00,2956780.00,2964800.00,2975626.00,2988231.00,3004279.00
.California,0400000US06,37253956.00,37254518.00,37327690.00,37672654.00,38019006.00,38347383.00,38701278.00,39032444.00,39296476.00,39536653.00
.Colorado,0400000US08,5029196.00,5029325.00,5048029.00,5116411.00,5186330.00,5262556.00,5342311.00,5440445.00,5530105.00,5607154.00
.Connecticut,0400000US09,3574097.00,3574114.00,3580171.00,3591927.00,3597705.00,3602470.00,3600188.00,3593862.00,3587685.00,3588184.00
.Delaware,0400000US10,897934.00,897936.00,899712.00,907884.00,916868.00,925114.00,934805.00,944107.00,952698.00,961939.00
.District of Columbia,0400000US11,601723.00,601766.00,605040.00,620336.00,635630.00,650114.00,660797.00,672736.00,684336.00,693972.00
.Florida,0400000US12,18801310.00,18804594.00,18846461.00,19097369.00,19341327.00,19584927.00,19897747.00,20268567.00,20656589.00,20984400.00
.Georgia,0400000US13,9687653.00,9688690.00,9712696.00,9810595.00,9911171.00,9981773.00,10083850.00,10199533.00,10313620.00,10429379.00
.Hawaii,0400000US15,1360301.00,1360301.00,1363817.00,1378323.00,1392772.00,1408038.00,1417710.00,1426320.00,1428683.00,1427538.00
.Idaho,0400000US16,1567582.00,1567650.00,1570912.00,1583180.00,1594673.00,1610187.00,1630391.00,1649324.00,1680026.00,1716943.00
.Illinois,0400000US17,12830632.00,12831565.00,12841196.00,12862298.00,12878494.00,12890403.00,12882438.00,12862051.00,12835726.00,12802023.00
.Indiana,0400000US18,6483802.00,6484125.00,6490029.00,6515358.00,6535665.00,6567484.00,6593182.00,6610596.00,6634007.00,6666818.00
.Iowa,0400000US19,3046355.00,3046869.00,3050223.00,3063690.00,3074386.00,3089876.00,3105563.00,3118473.00,3130869.00,3145711.00
.Kansas,0400000US20,2853118.00,2853130.00,2858403.00,2868756.00,2885316.00,2892900.00,2899553.00,2905789.00,2907731.00,2913123.00
.Kentucky,0400000US21,4339367.00,4339340.00,4347948.00,4368505.00,4383673.00,4399121.00,4410415.00,4422057.00,4436113.00,4454189.00
.Louisiana,0400000US22,4533372.00,4533478.00,4544871.00,4574388.00,4602681.00,4626795.00,4648797.00,4671211.00,4686157.00,4684333.00
.Maine,0400000US23,1328361.00,1328362.00,1327568.00,1327968.00,1328101.00,1327975.00,1328903.00,1327787.00,1330232.00,1335907.00
.Maryland,0400000US24,5773552.00,5773807.00,5788099.00,5843115.00,5891680.00,5932654.00,5970245.00,6000561.00,6024752.00,6052177.00
.Massachusetts,0400000US25,6547629.00,6547808.00,6564943.00,6612178.00,6659627.00,6711138.00,6757925.00,6794002.00,6823721.00,6859819.00
.Michigan,0400000US26,9883640.00,9884129.00,9876731.00,9876199.00,9886610.00,9899219.00,9914675.00,9918170.00,9933445.00,9962311.00
.Minnesota,0400000US27,5303925.00,5303924.00,5310711.00,5345967.00,5377695.00,5416074.00,5452649.00,5483238.00,5525050.00,5576606.00
.Mississippi,0400000US28,2967297.00,2968103.00,2970437.00,2977452.00,2982963.00,2987721.00,2988578.00,2985297.00,2985415.00,2984100.00
.Missouri,0400000US29,5988927.00,5988925.00,5995681.00,6010280.00,6023267.00,6041142.00,6058014.00,6072640.00,6091176.00,6113532.00
.Montana,0400000US30,989415.00,989414.00,990507.00,996866.00,1003522.00,1011921.00,1019931.00,1028317.00,1038656.00,1050493.00
.Nebraska,0400000US31,1826341.00,1826327.00,1829956.00,1841641.00,1854862.00,1867414.00,1880920.00,1893564.00,1907603.00,1920076.00
.Nevada,0400000US32,2700551.00,2700691.00,2702797.00,2718170.00,2752410.00,2786547.00,2831730.00,2883057.00,2939254.00,2998039.00
.New Hampshire,0400000US33,1316470.00,1316460.00,1316700.00,1318345.00,1320923.00,1322622.00,1328684.00,1330134.00,1335015.00,1342795.00
.New Jersey,0400000US34,8791894.00,8791953.00,8803708.00,8844694.00,8882095.00,8913735.00,8943010.00,8960001.00,8978416.00,9005644.00
.New Mexico,0400000US35,2059179.00,2059207.00,2064607.00,2077744.00,2083590.00,2085161.00,2083207.00,2082264.00,2085432.00,2088070.00
.New York,0400000US36,19378102.00,19378110.00,19405185.00,19526372.00,19625409.00,19712514.00,19773580.00,19819347.00,19836286.00,19849399.00
.North Carolina,0400000US37,9535483.00,9535721.00,9574247.00,9662940.00,9755299.00,9849812.00,9941160.00,10041769.00,10156689.00,10273419.00
.North Dakota,0400000US38,672591.00,672585.00,674518.00,684830.00,701380.00,722908.00,738658.00,754859.00,755548.00,755393.00
.Ohio,0400000US39,11536504.00,11536730.00,11539282.00,11543332.00,11546969.00,11567845.00,11593741.00,11606027.00,11622554.00,11658609.00
.Oklahoma,0400000US40,3751351.00,3751598.00,3759529.00,3785232.00,3815298.00,3849840.00,3875008.00,3904353.00,3921207.00,3930864.00
.Oregon,0400000US41,3831074.00,3831072.00,3837073.00,3865845.00,3893920.00,3919664.00,3960673.00,4016537.00,4085989.00,4142776.00
.Pennsylvania,0400000US42,12702379.00,12702857.00,12711063.00,12742811.00,12768034.00,12778450.00,12790341.00,12791124.00,12787085.00,12805537.00
.Rhode Island,0400000US44,1052567.00,1052945.00,1053169.00,1052154.00,1052761.00,1052784.00,1054782.00,1055916.00,1057566.00,1059639.00
.South Carolina,0400000US45,4625364.00,4625381.00,4635834.00,4672744.00,4719009.00,4765862.00,4824758.00,4892423.00,4959822.00,5024369.00
.South Dakota,0400000US46,814180.00,814197.00,816227.00,823338.00,832576.00,842513.00,849455.00,854036.00,861542.00,869666.00
.Tennessee,0400000US47,6346105.00,6346295.00,6355882.00,6396281.00,6450632.00,6490795.00,6540007.00,6590726.00,6649404.00,6715984.00
.Texas,0400000US48,25145561.00,25146100.00,25241648.00,25644424.00,26078327.00,26479279.00,26954436.00,27454880.00,27904862.00,28304596.00
.Utah,0400000US49,2763885.00,2763889.00,2775260.00,2815430.00,2854222.00,2899961.00,2938671.00,2984917.00,3044321.00,3101833.00
.Vermont,0400000US50,625741.00,625741.00,625842.00,626210.00,625606.00,626044.00,625665.00,624455.00,623354.00,623657.00
.Virginia,0400000US51,8001024.00,8001043.00,8025206.00,8107548.00,8188656.00,8261689.00,8316902.00,8366767.00,8414380.00,8470020.00
.Washington,0400000US53,6724540.00,6724545.00,6741386.00,6819155.00,6890899.00,6963410.00,7046931.00,7152818.00,7280934.00,7405743.00
.West Virginia,0400000US54,1852994.00,1853006.00,1854315.00,1854891.00,1855360.00,1852333.00,1847624.00,1839767.00,1828637.00,1815857.00
.Wisconsin,0400000US55,5686986.00,5687288.00,5690403.00,5705812.00,5721075.00,5736673.00,5751272.00,5759744.00,5772917.00,5795483.00
.Wyoming,0400000US56,563626.00,563767.00,564376.00,567602.00,576608.00,582341.00,583334.00,586102.00,584910.00,579315.00
Puerto Rico,0400000US72,3725789.00,3726157.00,3721525.00,3678732.00,3634488.00,3593077.00,3534874.00,3473177.00,3406520.00,3337177.00
