year,Rank,Country,Abreviation,Gold,Silver,Bronze,Total
2016,1,United States,USA,46,37,38,121
2016,2,Great Britain,GBR,27,23,17,67
2016,3,China,CHN,26,18,26,70
2016,4,Russia,RUS,19,17,19,55
2016,5,Germany,GER,17,10,15,42
2016,6,Japan,JPN,12,8,21,41
2016,7,France,FRA,10,18,14,42
2016,8,South Korea,KOR,9,3,9,21
2016,9,Italy,ITA,8,12,8,28
2016,10,Australia,AUS,8,11,10,29
2012,1,United States,USA,46,28,29,103
2012,2,China,CHN,38,31,22,91
2012,3,Great Britain,GBR,29,17,19,65
2012,4,Russia,RUS,20,19,30,69
2012,5,South Korea,KOR,13,9,8,30
2012,6,Germany,GER,11,20,13,44
2012,7,France,FRA,11,11,13,35
2012,8,Australia,AUS,8,15,12,35
2012,9,Italy,ITA,8,9,11,28
2012,10,Hungary,HUN,8,4,6,18
2008,1,China,CHN,48,22,30,100
2008,2,United States,USA,36,39,37,112
2008,3,Russia,RUS,24,13,23,60
2008,4,Great Britain,GBR,19,13,17,49
2008,5,Germany,GER,16,10,15,41
2008,6,Australia,AUS,14,15,17,46
2008,7,South Korea,KOR,13,10,8,31
2008,8,Japan,JPN,9,6,10,25
2008,9,Italy,ITA,8,10,10,28
2008,10,France,FRA,7,16,20,43
