Metric,Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over","Median income Value
(Dol.)","Median income Standard
error (Dol.)","Mean income Value
(Dol.)","Mean income Standard
error (Dol.)",Gini ratio Ratio,"Gini Ration Standard
error","Income per household member Value
(Dol.)","Income per household member Standard
error (Dol.)"
All,All Households,"126,224","4,138","3,878","6,122","5,838","6,245","5,939","5,919","5,727","5,487","5,089","5,119","4,298","4,404","3,809","3,775","3,677","3,370","2,828","3,000","2,599","2,843","2,071","2,261","1,828","1,992","1,586","1,557","1,264","1,327","1,106","1,323","1,015","1,063",946,807,768,722,606,621,482,"8,775","59,039",436,"83,143",469,0.481,0.0021,"32,793",194
Type of residence,Inside metropolitan statistical areas,"108,215","3,417","3,144","4,985","4,753","5,071","4,838","4,883","4,702","4,634","4,272","4,321","3,646","3,785","3,256","3,273","3,190","2,913","2,475","2,636","2,303","2,476","1,814","2,009","1,612","1,800","1,424","1,391","1,121","1,204","1,011","1,210",900,958,828,744,710,627,562,585,440,"8,290","61,521",325,"86,654",528,0.481,0.0023,"33,912",217
Type of residence,..Inside principal cities,"42,652","1,688","1,660","2,391","2,103","2,196","2,049","2,052","1,968","1,871","1,611","1,782","1,501","1,429","1,212","1,197","1,188","1,082",861,929,761,916,612,716,560,636,486,521,356,430,355,433,283,333,299,269,231,237,188,172,136,"2,953","54,834",721,"80,476",846,0.502,0.0036,"32,971",351
Type of residence,..Outside principal cities,"65,562","1,729","1,485","2,593","2,650","2,876","2,789","2,831","2,734","2,763","2,661","2,539","2,145","2,356","2,045","2,077","2,002","1,831","1,614","1,708","1,542","1,559","1,203","1,293","1,051","1,164",938,870,764,773,656,777,617,624,529,475,479,391,374,414,304,"5,337","66,319",466,"90,674",689,0.467,0.0031,"34,480",265
Type of residence,Outside metropolitan statistical areas (4),"18,009",722,734,"1,138","1,084","1,174","1,101","1,035","1,025",853,817,798,652,619,553,501,487,457,352,364,296,367,257,252,216,191,163,166,143,124,95,113,116,105,118,63,58,95,44,36,42,484,"45,830",616,"62,042",782,0.458,0.0038,"25,683",303
Region/Divisions,Northeast,"22,325",680,670,"1,047",960,"1,123",854,"1,002",872,836,934,806,692,761,648,661,653,555,444,537,411,547,408,412,346,383,311,281,223,261,233,276,213,210,249,166,149,166,133,137,77,"1,997","64,390","1,098","91,606","1,288",0.487,0.0049,"36,815",513
Region/Divisions,..New England,"6,023",142,159,281,257,274,221,272,213,232,237,191,164,199,166,174,190,150,128,150,121,133,116,116,93,125,106,85,83,77,62,88,78,64,57,53,45,50,44,34,23,571,"70,077","1,491","94,038","1,918",0.467,0.0068,"38,628",747
Region/Divisions,..Middle Atlantic,"16,302",538,511,766,703,849,633,730,659,605,697,615,528,562,483,487,463,404,317,387,289,414,292,296,252,258,206,196,140,184,171,188,135,146,192,114,105,116,89,103,54,"1,426","62,452","1,194","90,708","1,708",0.495,0.0061,"36,165",675
Region/Divisions,Midwest,"27,363",769,846,"1,343","1,175","1,285","1,318","1,374","1,307","1,152","1,109","1,253","1,047",970,813,790,800,763,697,705,608,653,450,500,392,461,357,320,255,262,228,284,240,197,199,177,117,140,128,127,116,"1,638","58,305",898,"79,848",939,0.462,0.0042,"32,632",366
Region/Divisions,..East North Central,"18,843",564,579,918,832,881,922,959,932,825,717,878,671,641,534,535,540,498,491,463,418,438,322,374,275,327,244,209,173,174,174,182,167,125,130,125,82,93,99,91,80,"1,163","57,718","1,094","80,121","1,233",0.467,0.0056,"32,657",488
