GEO.id,Id
GEO.display-label,${dim.label}
BOXHEAD#HC01_ESTIMATE#EST_SUBJECT#VC01,Total; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC01_ESTIMATE#MOE_SUBJECT#VC01,Total; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC02_ESTIMATE#EST_SUBJECT#VC01,Percent; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC02_ESTIMATE#MOE_SUBJECT#VC01,Percent; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC03_ESTIMATE#EST_SUBJECT#VC01,In public school; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC03_ESTIMATE#MOE_SUBJECT#VC01,In public school; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC04_ESTIMATE#EST_SUBJECT#VC01,Percent in public school; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC04_ESTIMATE#MOE_SUBJECT#VC01,Percent in public school; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC05_ESTIMATE#EST_SUBJECT#VC01,In private school; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC05_ESTIMATE#MOE_SUBJECT#VC01,In private school; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC06_ESTIMATE#EST_SUBJECT#VC01,Percent in private school; Estimate; Population 3 years and over enrolled in school
BOXHEAD#HC06_ESTIMATE#MOE_SUBJECT#VC01,Percent in private school; Margin of Error; Population 3 years and over enrolled in school
BOXHEAD#HC01_ESTIMATE#EST_SUBJECT#VC02,"Total; Estimate; Nursery school, preschool"
BOXHEAD#HC01_ESTIMATE#MOE_SUBJECT#VC02,"Total; Margin of Error; Nursery school, preschool"
BOXHEAD#HC02_ESTIMATE#EST_SUBJECT#VC02,"Percent; Estimate; Nursery school, preschool"
BOXHEAD#HC02_ESTIMATE#MOE_SUBJECT#VC02,"Percent; Margin of Error; Nursery school, preschool"
BOXHEAD#HC03_ESTIMATE#EST_SUBJECT#VC02,"In public school; Estimate; Nursery school, preschool"
BOXHEAD#HC03_ESTIMATE#MOE_SUBJECT#VC02,"In public school; Margin of Error; Nursery school, preschool"
BOXHEAD#HC04_ESTIMATE#EST_SUBJECT#VC02,"Percent in public school; Estimate; Nursery school, preschool"
BOXHEAD#HC04_ESTIMATE#MOE_SUBJECT#VC02,"Percent in public school; Margin of Error; Nursery school, preschool"
BOXHEAD#HC05_ESTIMATE#EST_SUBJECT#VC02,"In private school; Estimate; Nursery school, preschool"
BOXHEAD#HC05_ESTIMATE#MOE_SUBJECT#VC02,"In private school; Margin of Error; Nursery school, preschool"
BOXHEAD#HC06_ESTIMATE#EST_SUBJECT#VC02,"Percent in private school; Estimate; Nursery school, preschool"
BOXHEAD#HC06_ESTIMATE#MOE_SUBJECT#VC02,"Percent in private school; Margin of Error; Nursery school, preschool"
BOXHEAD#HC01_ESTIMATE#EST_SUBJECT#VC03,Total; Estimate; Kindergarten to 12th grade
BOXHEAD#HC01_ESTIMATE#MOE_SUBJECT#VC03,Total; Margin of Error; Kindergarten to 12th grade
BOXHEAD#HC02_ESTIMATE#EST_SUBJECT#VC03,Percent; Estimate; Kindergarten to 12th grade
BOXHEAD#HC02_ESTIMATE#MOE_SUBJECT#VC03,Percent; Margin of Error; Kindergarten to 12th grade
BOXHEAD#HC03_ESTIMATE#EST_SUBJECT#VC03,In public school; Estimate; Kindergarten to 12th grade
BOXHEAD#HC03_ESTIMATE#MOE_SUBJECT#VC03,In public school; Margin of Error; Kindergarten to 12th grade
BOXHEAD#HC04_ESTIMATE#EST_SUBJECT#VC03,Percent in public school; Estimate; Kindergarten to 12th grade
