"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"249","2017-02-01 00:14:42","2017-02-01 00:18:52","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","1290","Subscriber","1990","1"
"888","2017-02-01 00:51:33","2017-02-01 01:06:22","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","643","Subscriber","1985","1"
"858","2017-02-01 01:14:30","2017-02-01 01:28:49","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","643","Subscriber","1985","1"
"879","2017-02-01 01:40:32","2017-02-01 01:55:12","141","Kendall Street","42.363560158429884","-71.08216792345047","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","875","Subscriber","1988","1"
"423","2017-02-01 02:23:20","2017-02-01 02:30:24","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1541","Subscriber","1986","2"
"407","2017-02-01 03:08:29","2017-02-01 03:15:17","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","733","Subscriber","1991","1"
"565","2017-02-01 04:41:59","2017-02-01 04:51:25","107","Ames St at Main St","42.3625","-71.08822","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","1382","Subscriber","1986","1"
"376","2017-02-01 05:41:26","2017-02-01 05:47:42","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","177","University Park","42.36264779118595","-71.10006093978882","1569","Subscriber","1993","1"
"605","2017-02-01 06:04:08","2017-02-01 06:14:13","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1305","Subscriber","1991","1"
"610","2017-02-01 06:12:34","2017-02-01 06:22:45","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","70","Harvard Kennedy School at Bennett St / Eliot St","42.37199165408676","-71.12226963043213","668","Subscriber","1992","1"
"615","2017-02-01 06:40:39","2017-02-01 06:50:54","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1625","Subscriber","1970","1"
