"RACE_HIS","SEX","YEAR","BIRTHS"
0,0,2017,4053964
0,0,2018,4075205
0,0,2019,4094965
0,0,2020,4112212
0,0,2021,4126260
0,0,2022,4137447
0,0,2023,4145830
0,0,2024,4151841
0,0,2025,4156183
0,0,2026,4159544
0,0,2027,4161942
0,0,2028,4162983
0,0,2029,4162908
0,0,2030,4162235
0,0,2031,4161398
0,0,2032,4160875
0,0,2033,4161099
0,0,2034,4162441
0,0,2035,4164981
0,0,2036,4168718
0,0,2037,4173567
0,0,2038,4179195
0,0,2039,4185495
0,0,2040,4192250
0,0,2041,4199413
0,0,2042,4207253
0,0,2043,4215759
0,0,2044,4224974
0,0,2045,4234955
0,0,2046,4245686
0,0,2047,4257004
0,0,2048,4268712
0,0,2049,4280671
0,0,2050,4292627
0,0,2051,4304341
0,0,2052,4315608
0,0,2053,4326315
0,0,2054,4336401
0,0,2055,4345792
0,0,2056,4354508
0,0,2057,4362600
0,0,2058,4370136
0,0,2059,4377231
0,0,2060,4384008
0,1,2017,2072848
0,1,2018,2083693
0,1,2019,2093769
0,1,2020,2102568
0,1,2021,2109721
0,1,2022,2115412
0,1,2023,2119666
0,1,2024,2122704
0,1,2025,2124884
0,1,2026,2126569
0,1,2027,2127753
0,1,2028,2128250
0,1,2029,2128170
0,1,2030,2127789
0,1,2031,2127332
0,1,2032,2127023
0,1,2033,2127106
0,1,2034,2127761
0,1,2035,2129026
0,1,2036,2130910
0,1,2037,2133365
0,1,2038,2136212
0,1,2039,2139409
0,1,2040,2142844
0,1,2041,2146489
0,1,2042,2150479
0,1,2043,2154811
0,1,2044,2159506
0,1,2045,2164599
0,1,2046,2170079
0,1,2047,2175855
0,1,2048,2181831
0,1,2049,2187934
0,1,2050,2194030
0,1,2051,2200009
0,1,2052,2205751
0,1,2053,2211207
0,1,2054,2216341
0,1,2055,2221125
0,1,2056,2225554
0,1,2057,2229668
0,1,2058,2233485
0,1,2059,2237086
0,1,2060,2240530
0,2,2017,1981116
0,2,2018,1991512
0,2,2019,2001196
0,2,2020,2009644
0,2,2021,2016539
0,2,2022,2022035
0,2,2023,2026164
0,2,2024,2029137
0,2,2025,2031299
0,2,2026,2032975
0,2,2027,2034189
0,2,2028,2034733
0,2,2029,2034738
0,2,2030,2034446
0,2,2031,2034066
0,2,2032,2033852
0,2,2033,2033993
0,2,2034,2034680
0,2,2035,2035955
0,2,2036,2037808
0,2,2037,2040202
0,2,2038,2042983
0,2,2039,2046086
0,2,2040,2049406
0,2,2041,2052924
0,2,2042,2056774
0,2,2043,2060948
0,2,2044,2065468
0,2,2045,2070356
0,2,2046,2075607
0,2,2047,2081149
0,2,2048,2086881
0,2,2049,2092737
0,2,2050,2098597
0,2,2051,2104332
0,2,2052,2109857
0,2,2053,2115108
0,2,2054,2120060
0,2,2055,2124667
0,2,2056,2128954
0,2,2057,2132932
0,2,2058,2136651
0,2,2059,2140145
0,2,2060,2143478
1,0,2017,2850742
1,0,2018,2858441
1,0,2019,2865012
1,0,2020,2869757
1,0,2021,2872346
1,0,2022,2873085
1,0,2023,2871874
1,0,2024,2868908
1,0,2025,2864607
1,0,2026,2859456
1,0,2027,2853572
1,0,2028,2846810
1,0,2029,2839464
1,0,2030,2831890
1,0,2031,2824223
1,0,2032,2816621
1,0,2033,2809259
1,0,2034,2802310
1,0,2035,2795728
1,0,2036,2789370
1,0,2037,2783179
1,0,2038,2777125
1,0,2039,2771241
1,0,2040,2765463
1,0,2041,2759855
1,0,2042,2754676
1,0,2043,2749917
1,0,2044,2745574
1,0,2045,2741720
1,0,2046,2738344
1,0,2047,2735371
1,0,2048,2732671
1,0,2049,2730150
1,0,2050,2727716
1,0,2051,2725208
1,0,2052,2722488
1,0,2053,2719487
1,0,2054,2716141
1,0,2055,2712386
1,0,2056,2708191
1,0,2057,2703543
1,0,2058,2698494
1,0,2059,2693076
1,0,2060,2687323
1,1,2017,1458789
1,1,2018,1462697
1,1,2019,1466024
1,1,2020,1468413
1,1,2021,1469696
1,1,2022,1470028
1,1,2023,1469360
1,1,2024,1467791
1,1,2025,1465536
1,1,2026,1462846
1,1,2027,1459780
1,1,2028,1456264
1,1,2029,1452451
1,1,2030,1448521
1,1,2031,1444546
1,1,2032,1440606
1,1,2033,1436790
1,1,2034,1433188
1,1,2035,1429777
1,1,2036,1426485
1,1,2037,1423280
1,1,2038,1420149
1,1,2039,1417108
1,1,2040,1414124
1,1,2041,1411228
1,1,2042,1408555
1,1,2043,1406098
1,1,2044,1403855
1,1,2045,1401865
1,1,2046,1400118
1,1,2047,1398578
1,1,2048,1397177
1,1,2049,1395865
1,1,2050,1394596
1,1,2051,1393288
