"SEX","ORIGIN","RACE","YEAR","TOTAL_POP","POP_0","POP_1","POP_2","POP_3","POP_4","POP_5","POP_6","POP_7","POP_8","POP_9","POP_10","POP_11","POP_12","POP_13","POP_14","POP_15","POP_16","POP_17","POP_18","POP_19","POP_20","POP_21","POP_22","POP_23","POP_24","POP_25","POP_26","POP_27","POP_28","POP_29","POP_30","POP_31","POP_32","POP_33","POP_34","POP_35","POP_36","POP_37","POP_38","POP_39","POP_40","POP_41","POP_42","POP_43","POP_44","POP_45","POP_46","POP_47","POP_48","POP_49","POP_50","POP_51","POP_52","POP_53","POP_54","POP_55","POP_56","POP_57","POP_58","POP_59","POP_60","POP_61","POP_62","POP_63","POP_64","POP_65","POP_66","POP_67","POP_68","POP_69","POP_70","POP_71","POP_72","POP_73","POP_74","POP_75","POP_76","POP_77","POP_78","POP_79","POP_80","POP_81","POP_82","POP_83","POP_84","POP_85","POP_86","POP_87","POP_88","POP_89","POP_90","POP_91","POP_92","POP_93","POP_94","POP_95","POP_96","POP_97","POP_98","POP_99","POP_100"
0,0,0,2016,323127513,3970145,3995008,3992154,3982074,3987656,4032515,4029655,4029991,4159114,4178524,4144019,4131222,4139558,4109703,4093731,4196991,4265224,4205001,4219303,4243480,4286221,4386854,4480904,4552952,4674097,4758352,4747254,4559206,4451507,4374565,4392155,4423807,4283076,4345786,4341535,4293125,4375562,4103498,4022119,3979601,3862150,3979596,3854553,3912307,4087645,4319616,4371961,4142964,4055074,4058008,4131293,4375892,4452636,4445605,4433630,4484565,4518758,4362807,4332953,4281025,4123968,4083962,3911429,3757382,3606295,3490890,3403647,3295266,3251936,3378344,2487211,2445650,2371252,2413647,2092487,1900211,1784266,1664566,1578915,1439937,1358260,1284298,1135109,1079082,1008890,938333,876190,766479,693882,610338,520906,449986,372625,300000,239313,186408,135797,94311,68972,44895,81896
0,0,0,2017,325489475,4034791,3980492,4008116,4003478,3992207,3997392,4042440,4040047,4041063,4170685,4190108,4155219,4142074,4150730,4121794,4108277,4215342,4288196,4233261,4251108,4277773,4321626,4422467,4516236,4587291,4707566,4790058,4777149,4587850,4477889,4398868,4413258,4442014,4298767,4359491,4353713,4303531,4383641,4111179,4028537,3984541,3865651,3981593,3855725,3912585,4086265,4315712,4365409,4134928,4045056,4046013,4116949,4358883,4433952,4425934,4412773,4461817,4493975,4337169,4305372,4251447,4092914,4050176,3876056,3720444,3567687,3449966,3359750,3249376,3202397,3322077,2442787,2397598,2319959,2355941,2037902,1845534,1727722,1606349,1517810,1378127,1293377,1215828,1067366,1006951,933491,860399,795555,688525,616024,534782,449946,382669,311525,246219,192531,146802,104540,70840,50486,83574
0,0,0,2018,327848911,4056716,4046477,3993419,4019345,4013649,4001995,4007421,4052927,4051175,4052752,4182356,4201452,4166128,4153355,4163009,4136524,4127018,4238674,4316526,4265709,4285871,4313524,4357895,4458227,4551401,4621327,4739992,4820454,4805708,4614495,4502236,4420352,4431928,4457882,4312997,4371920,4364340,4312312,4390538,4117661,4033632,3988016,3868195,3982657,3856316,3911959,4083353,4309706,4356544,4124836,4033282,4032485,4101692,4341118,4414648,4405551,4391051,4438176,4467892,4310232,4276280,4219953,4059664,4013995,3838332,3681103,3526404,3406382,3313267,3200624,3149795,3262162,2395308,2346214,2265372,2294638,1979847,1787597,1667826,1544687,1453126,1312814,1224880,1143789,996514,932170,856481,781738,715161,611713,540235,462335,382993,320286,256011,198354,151848,113166,78659,51938,86222
0,0,0,2019,330205016,4077167,4068649,4060541,4004499,4029427,4023461,4012057,4017972,4064123,4062890,4064631,4193833,4212469,4177496,4165769,4177960,4155502,4150810,4267452,4349076,4301156,4322123,4350161,4394288,4493828,4586191,4654316,4771037,4849468,4832291,4639056,4523767,4439360,4448246,4472242,4325927,4382807,4373352,4319885,4396211,4122808,4037231,3990512,3869810,3983126,3856029,3909826,4078378,4301377,4345513,4112985,4019996,4018047,4085765,4322782,4394677,4384336,4368454,4413273,4440487,4281762,4245285,4186211,4023985,3975370,3798130,3639025,3482417,3360143,3263893,3148765,3093740,3198266,2344535,2291473,2207291,2229518,1918246,1726157,1604387,1479387,1384715,1243786,1152810,1068396,923012,855747,778703,703241,635873,536880,467488,393919,320884,263533,206526,156654,117240,85265,57778,87672
0,0,0,2020,332554929,4095123,4089344,4082833,4072599,4014451,4039164,4033531,4022626,4029209,4075879,4074733,4076315,4205008,4223908,4190013,4180890,4197186,4179617,4180135,4300527,4384632,4338146,4359234,4386966,4430496,4529025,4619893,4685941,4800614,4876513,4856771,4660832,4542808,4455998,4463008,4485228,4337294,4392096,4381171,4326218,4400564,4126454,4039827,3992088,3870852,3982690,3854262,3905661,4071129,4290891,4332663,4099623,4005824,4002979,4069319,4303837,4373935,4362270,4344637,4387071,4411539,4251390,4212050,4149974,3985844,3934138,3755161,3594166,3435726,3310982,3211398,3093442,3033885,3130128,2290417,2233196,2145507,2160439,1852886,1661015,1537135,1410263,1312397,1171078,1077340,990131,847852,778520,701024,625755,558560,464985,398712,330391,264316,212880,163347,121129,88491,62725,92064
0,0,0,2021,334894358,4109900,4107542,4103649,4094985,4083359,4024088,4049172,4044099,4033860,4040982,4087777,4086372,4087676,4216581,4236504,4205270,4200326,4221634,4209336,4213861,4336645,4421765,4375951,4396486,4423590,4466247,4563143,4652145,4716116,4828163,4901433,4878458,4680107,4559498,4471082,4476393,4496649,4347057,4400186,4387763,4331229,4403495,4129067,4041520,3993076,3871018,3980747,3850472,3899258,4061771,4278604,4318289,4085369,3991050,3987449,4052318,4284149,4352403,4339036,4319571,4359327,4380642,4218754,4176283,4111173,3945080,3890015,3709356,3546513,3386045,3258649,3155417,3034348,2969999,3057634,2232772,2171180,2079886,2087152,1783548,1591884,1465873,1337151,1236194,1094890,998938,910055,771848,701347,624287,550142,484225,396957,334772,272456,213765,168612,126502,91564,65221,98161
0,0,0,2022,337218535,4121837,4122558,4121960,4115896,4105804,4093647,4034022,4059689,4055323,4045610,4052883,4099479,4097721,4099404,4229339,4251869,4224895,4225046,4251751,4243518,4250687,4374374,4459739,4413865,4433549,4459695,4500897,4595831,4682869,4744241,4853502,4923496,4897614,4697027,4574642,4484789,4488230,4506489,4355606,4407052,4393007,4334801,4405446,4130784,4042621,3993169,3869714,3976745,3844445,3890778,4050657,4264823,4303012,4070530,3975842,3971414,4034642,4263689,4329741,4314558,4292987,4329628,4347378,4183553,4137924,4069658,3901422,3842985,3660680,3495793,3333105,3202741,3095607,2971226,2901985,2980547,2171395,2105272,2010177,2009410,1709865,1518573,1390458,1260063,1156314,1015712,918670,829014,695834,625050,549332,477364,413807,333648,276397,220621,169537,130778,95791,67596,103775
0,0,0,2023,339522813,4130982,4134740,4137089,4134299,4126777,4116137,4104106,4044486,4070870,4067067,4057474,4064559,4110900,4109450,4112329,4244860,4271642,4249886,4255496,4286408,4280796,4289176,4412926,4497856,4451531,4470059,4494673,4534057,4627012,4711515,4770116,4875956,4942954,4914448,4712336,4588430,4496972,4498517,4515109,4362939,4412597,4396784,4337362,4406569,4131905,4042832,3991793,3866393,3970470,3836359,3880595,4038112,4250168,4287168,4055269,3960176,3954766,4016260,4242149,4305875,4288579,4264484,4297589,4311446,4145742,4096798,4025170,3854831,3792992,3608857,3441741,3276543,3142937,3031720,2903966,2829608,2898630,2106140,2035239,1936117,1926809,1631626,1440988,1310881,1179190,1073249,934613,837385,747907,620616,550461,477109,408344,348195,275780,224100,175203,131682,99192,70843,108974
0,0,0,2024,341802712,4137761,4144128,4149386,4149518,4145239,4137146,4126621,4115007,4055624,4082553,4078896,4069126,4075946,4122675,4122411,4128064,4264798,4296848,4280673,4290546,4324169,4319777,4328449,4451637,4535740,4488570,4505437,4528143,4565614,4656110,4737873,4793097,4895789,4960103,4929680,4726249,4600701,4507616,4507585,4522497,4368962,4416691,4399490,4339082,4407111,4132111,4041568,3988375,3860838,3962111,3826614,3869048,4024752,4234981,4270927,4039586,3943936,3937450,3996894,4219435,4280520,4260685,4233664,4262906,4272812,4105154,4052673,3977711,3805298,3739769,3553606,3383957,3215994,3078962,2963651,2832384,2752641,2811625,2036780,1960848,1857306,1839089,1548773,1359090,1227346,1095024,988125,852450,755964,667574,547018,478524,408546,343970,288150,223874,178210,136273,100030,73482,114490
0,0,0,2025,344055780,4142873,4151142,4158883,4161899,4160519,4155649,4147661,4137542,4126518,4067288,4094343,4090543,4080559,4087738,4135695,4138216,4148260,4290234,4327916,4316129,4328721,4363628,4359531,4367837,4490127,4573000,4524490,4539332,4560048,4595100,4682890,4761330,4813443,4913328,4975684,4943534,4738710,4611463,4517058,4515430,4528559,4373561,4419694,4401338,4340206,4406731,4130832,4038271,3982694,3853250,3952082,3815585,3856754,4010952,4219459,4254302,4023338,3927058,3919195,3976464,4195279,4253261,4230463,4200227,4225568,4231333,4061596,4005573,3927258,3752602,3683041,3494532,3322100,3151233,3010698,2891247,2756258,2670911,2719250,1963085,1881661,1773538,1746217,1461275,1273105,1140368,1008735,901824,770102,675262,588914,475978,410169,344518,284979,234217,178269,138821,103673,74220,119804
