Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,Continent nationality,Date,Meet,Meet location
50 m freestyle,50,Female,1,26.99,26099,,"Relay, en route to final mark",Kornelia Ender,Kornelia_Ender,East Germany,Europe,"Saturday, July 26, 1975",World Championships,"Cali, Colombia"
50 m freestyle,50,Female,2,26.95,26095,,Final,Johanna Malloy,Johanna_Malloy,Canada,America,"Tuesday, August 16, 1977",-,"St. John's, Antigua and Barbuda"
50 m freestyle,50,Female,3,26.74,26074,,Final,Anne Jardin,Anne_Jardin,Canada,America,"Saturday, August 19, 1978",-,"Etobicoke, Canada"
50 m freestyle,50,Female,4,26.61,26061,,Heat,Cynthia Woodhead,Cynthia_Woodhead,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Female,5,26.53,26053,,Heat,Kelly Asplund,Kelly_Asplund,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Female,6,26.32,26032,,Heat,Jill Sterkel,Jill_Sterkel,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Female,7,25.96,25096,,Final,Jill Sterkel,Jill_Sterkel,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Female,8,25.79,25079,,Time Trial,Jill Sterkel,Jill_Sterkel,United States,America,"Friday, April 3, 1981",Longhorn Invitational,"Austin, TX, United States"
50 m freestyle,50,Female,9,25.69,25069,,Heat,Dara Torres,Dara_Torres,United States,America,"Saturday, January 29, 1983",Speedo International,"Amersfoort, Netherlands"
50 m freestyle,50,Female,10,25.64,25064,,Final,Annemarie Verstappen,Annemarie_Verstappen,Netherlands,Europe,"Saturday, July 9, 1983",NED Nationals,"Amersfoort, Netherlands"
50 m freestyle,50,Female,11,25.62,25062,,Final,Dara Torres,Dara_Torres,United States,America,"Friday, August 5, 1983",USA Nationals,"Clovis, CA, United States"
50 m freestyle,50,Female,12,25.61,25061,,Relay 1st leg,Dara Torres,Dara_Torres,United States,America,"Saturday, July 21, 1984",Pre-Olympic meet,"Mission Viejo, CA, United States"
50 m freestyle,50,Female,14,25.34,25034,,Final,Tamara Costache,Tamara_Costache,Romania,Europe,"Wednesday, July 16, 1986",ROU Nationals & World Championship Trials,"Bucharest, Romania"
50 m freestyle,50,Female,13,25.5,25005,,Heat,Tamara Costache,Tamara_Costache,Romania,Europe,"Wednesday, July 16, 1986",ROU Nationals & World Championship Trials,"Bucharest, Romania"
50 m freestyle,50,Female,15,25.31,25031,,Final,Tamara Costache,Tamara_Costache,Romania,Europe,"Friday, August 1, 1986",Balkan Games,"Sofia, Bulgaria"
50 m freestyle,50,Female,16,25.28,25028,,Final,Tamara Costache,Tamara_Costache,Romania,Europe,"Saturday, August 23, 1986",World Championships,"Madrid, Spain"
50 m freestyle,50,Female,17,24.98,24098,,Final,Yang Wenyi,Yang_Wenyi,China,Asia,"Monday, April 11, 1988",Asian Swimming Championships,"Guangzhou, China"
50 m freestyle,50,Female,18,24.79,24079,,Final,Yang Wenyi,Yang_Wenyi,China,Asia,"Friday, July 31, 1992",Olympic Games,"Barcelona, Spain"
50 m freestyle,50,Female,19,24.51,24051,,Final,Le Jingyi,Le_Jingyi,China,Asia,"Sunday, September 11, 1994",World Championships,"Rome, Italy"
50 m backstroke,50,Female,1,29,29000,,Final,Sandra Völker,Sandra_Völker,Germany,Europe,"Saturday, May 24, 1997",Mare Nostrum,"Monte Carlo, Monaco"
50 m breaststroke,50,Female,WBT,30.95,30095,,En route to final mark,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Saturday, August 1, 1998",Goodwill Games,"New York, NY, United States"
50 m backstroke,50,Female,2,28.78,28078,,Semifinal,Sandra Völker,Sandra_Völker,Germany,Europe,"Saturday, June 12, 1999",Mare Nostrum,"Monte Carlo, Monaco"
50 m butterfly,50,Female,1,26.54,26054,,Final,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Friday, June 18, 1999",Netherlands Championships,"Amersfoort, Netherlands"
50 m butterfly,50,Female,2,26.39,26039,,Final,Anna-Karin Kammerling,Anna-Karin_Kammerling,Sweden,Europe,"Thursday, July 1, 1999",Sweden Championships,"Halmstad, Sweden"
50 m butterfly,50,Female,3,26.29,26029,,Final,Anna-Karin Kammerling,Anna-Karin_Kammerling,Sweden,Europe,"Tuesday, July 27, 1999",European Championships,"Istanbul, Turkey"
50 m backstroke,50,Female,3,28.71,28071,,Final,Sandra Völker,Sandra_Völker,Germany,Europe,"Sunday, August 1, 1999",European Championships,"Istanbul, Turkey"
50 m breaststroke,50,Female,1,30.83,30083,,Time Trial,Penelope Heyns,Penelope_Heyns,South Africa,Africa,"Sunday, August 29, 1999",Pan Pacific Championships,"Sydney, Australia"
50 m backstroke,50,Female,4,28.69,28069,,Final,Nina Zhivanevskaya,Nina_Zhivanevskaya,Spain,Europe,"Saturday, April 8, 2000",Spain Spring Nationals,"Madrid, Spain"
50 m backstroke,50,Female,5,28.67,28067,,Final,Mai Nakamura,Mai_Nakamura,Japan,Asia,"Tuesday, April 25, 2000",Japan Championships,"Tokyo, Japan"
50 m butterfly,50,Female,4,25.83,25083,,Heat,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Saturday, May 20, 2000",Mare Nostrum,"Monte Carlo, Monaco"
50 m butterfly,50,Female,5,25.64,25064,,Heat,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Friday, May 26, 2000",Super Speedo Grand Prix,"Sheffield, United Kingdom"
50 m freestyle,50,Female,19.5,24.51,24051,,Heat,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Friday, May 26, 2000",Super Speedo Grand Prix,"Sheffield, United Kingdom"
50 m freestyle,50,Female,20,24.48,24048,,Final,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Sunday, June 4, 2000",NED Olympic Trials,"Drachten, Netherlands"
50 m freestyle,50,Female,21,24.39,24039,,Final,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Saturday, June 10, 2000",Trofeu Jose Finkel & BRA Olympic Trials,"Rio de Janeiro, Brazil"
50 m backstroke,50,Female,6,28.25,28025,,Heat,Sandra Völker,Sandra_Völker,Germany,Europe,"Saturday, June 17, 2000",Germany Championships,"Berlin, Germany"
50 m freestyle,50,Female,22,24.13,24013,,Semifinal,Inge de Bruijn,Inge_de_Bruijn,Netherlands,Europe,"Friday, September 22, 2000",Olympic Games,"Sydney, Australia"
50 m butterfly,50,Female,6,25.57,25057,,Final,Anna-Karin Kammerling,Anna-Karin_Kammerling,Sweden,Europe,"Tuesday, July 30, 2002",European Championships,"Berlin, Germany"
50 m breaststroke,50,Female,2,30.57,30057,,Semifinal,Zoe Baker,Zoe_Baker,United Kingdom,Europe,"Tuesday, July 30, 2002",Commonwealth Games,"Manchester, United Kingdom"
50 m backstroke,50,Female,7,28.19,28019,,Final,Janine Pietsch,Janine_Pietsch,Germany,Europe,"Wednesday, May 25, 2005",Germany Championships,"Berlin, Germany"
50 m breaststroke,50,Female,3,30.45,30045,,Final,Jade Edmistone,Jade_Edmistone,Australia,Oceania,"Sunday, July 31, 2005",World Championships,"Montreal, Canada"
50 m breaststroke,50,Female,4,30.31,30031,,Heat,Jade Edmistone,Jade_Edmistone,Australia,Oceania,"Monday, January 30, 2006",AUS Nationals & Commonwealth Games Trials,"Melbourne, Australia"
50 m backstroke,50,Female,8,28.16,28016,,Semifinal,Leila Vaziri,Leila_Vaziri,United States,America,"Wednesday, March 28, 2007",World Championships,"Melbourne, Australia"
50 m backstroke,50,Female,8.1,28.16,28016,,Final,Leila Vaziri,Leila_Vaziri,United States,America,"Thursday, March 29, 2007",World Championships,"Melbourne, Australia"
50 m butterfly,50,Female,7,25.46,25046,,Final,Therese Alshammar,Therese_Alshammar,Sweden,Europe,"Wednesday, June 13, 2007",Mare Nostrum,"Barcelona, Spain"
50 m backstroke,50,Female,9,28.09,28009,,Final,Li Yang,Li_Yang,China,Asia,"Friday, October 19, 2007",World Military Games,"Hyderabad, India"
50 m backstroke,50,Female,10,28,28000,,Relay 1st leg,Hayley McGregory,Hayley_McGregory,United States,America,"Friday, March 7, 2008",Texas Senior Circuit Championships,"Austin, United States"
50 m backstroke,50,Female,11,27.95,27095,,Semifinal,Emily Seebohm,Emily_Seebohm,Australia,Oceania,"Saturday, March 22, 2008",Australia Championships,"Sydney, Australia"
50 m backstroke,50,Female,12,27.67,27067,,Final,Sophie Edington,Sophie_Edington,Australia,Oceania,"Sunday, March 23, 2008",Australia Championships,"Sydney, Australia"
50 m freestyle,50,Female,23,24.09,24009,,Final,Marleen Veldhuis,Marleen_Veldhuis,Netherlands,Europe,"Monday, March 24, 2008",European Championships,"Eindhoven, Netherlands"
50 m freestyle,50,Female,24,23.97,23097,,Final,Libby Trickett,Libby_Trickett,Australia,Oceania,"Saturday, March 29, 2008",Australian Championships & Olympic Trials,"Sydney, Australia"
50 m backstroke,50,Female,12.1,27.67,27067,,Final,Zhao Jing,Zhao_Jing,China,Asia,"Thursday, April 9, 2009",China Championships,"Shaoxing, China"
50 m butterfly,50,Female,8,25.33,25033,,Final,Marleen Veldhuis,Marleen_Veldhuis,Netherlands,Europe,"Sunday, April 19, 2009",Swim Cup Amsterdam,"Amsterdam, Netherlands"
